date,avg_polarity,std_polarity,article_count,avg_vader_compound,std_vader_compound,positive_ratio,close,high,low,open,volume,daily_return
2012-05-18,0.2875,,1,0.5574,,1.0,37.99576187133789,44.724282100009326,37.76717155111898,41.79235618185496,573576400,
2012-05-21,0.0,0.0,4,0.0954,0.1909,0.0,33.821495056152344,36.43538195928824,32.797807137508464,36.3061774150545,168192700,-10.986137952228836
2012-05-22,0.3095,0.3392,7,0.1445,0.0987,0.7143,30.81006622314453,33.384197714086056,30.75043436769169,32.4102025271521,101786600,-8.903890345497945
2012-05-23,0.0833,0.1443,3,0.1702,0.2948,0.3333,31.803937911987305,32.300874441862106,31.167859760359534,31.17779871843652,73600000,3.225801858537314
2012-05-24,0.0,,1,0.0,,0.0,32.8276252746582,33.00652272503711,31.57534691333061,32.748117403003555,50237200,3.218744060888934
2012-05-25,0.0,,1,0.0,,0.0,31.714488983154297,32.74811786863476,30.91939129867887,32.698424974228445,37149800,-3.390852314752135
2012-05-30,0.0714,0.189,7,-0.0627,0.4603,0.1429,28.01728057861328,29.36894657814204,27.689302562358076,28.524156039309936,57267900,-2.25381931542451
2012-05-31,0.1286,0.1226,7,0.1999,0.3481,0.5714,29.418642044067383,29.48821285280686,26.66561329816687,28.375074225988158,111639200,5.001775463261127
2012-06-01,0.0804,0.1002,7,0.0867,0.1081,0.4286,27.550161361694336,28.97140018315004,27.222183317947824,28.7129929523706,41855500,-6.351349187274424
2012-06-04,0.1,0.2236,5,0.0051,0.3897,0.2,26.735183715820312,27.480588476832004,26.278003038984394,27.03334675762239,35230300,-2.9581592469623996
2012-06-05,0.0341,0.0682,4,0.201,0.232,0.25,25.711498260498047,27.589917836951688,25.59223265287856,26.53641286824006,42473400,-3.828982311112783
2012-06-06,0.0,,1,0.0,,0.0,26.645734786987305,27.00352967612063,25.363639593696767,25.91026898928395,61489200,3.6335359263157896
2012-06-07,0.1339,0.1848,8,0.1184,0.1343,0.375,26.1487979888916,27.182426814448583,25.989778461215497,26.83457088678374,26159500,-1.8649768980602
2012-06-11,0.0417,0.1021,6,0.0702,0.1721,0.1667,26.844512939453125,27.898017905694356,26.675554434858185,27.013471444048065,28219600,-0.33210460930491736
