date,avg_polarity,std_polarity,article_count,avg_vader_compound,std_vader_compound,positive_ratio,close,high,low,open,volume,daily_return
2020-06-04,0.0,,1,0.0,,0.0,70.12908935546875,71.45898541414964,69.75912357005502,71.03389302934043,29686000,
2020-06-05,-0.0519,0.0898,3,-0.411,0.3636,0.0,71.43067932128906,71.76141616660131,69.82218753740298,70.17824851809759,34698000,1.8559915404331662
2020-06-08,0.1394,,1,0.5423,,0.0,71.8388900756836,71.90742134684552,70.63363688396181,70.63363688396181,28084000,0.5714781915462819
2020-06-09,0.0667,0.0943,2,0.0,0.0,0.0,72.31314086914062,72.90112004210671,71.67004267427679,71.77681020500805,28184000,0.6601588540098513
2020-06-10,0.0111,0.0192,3,0.2958,0.3692,0.0,72.79435729980469,73.21194794835758,72.31860903221238,72.48099571312636,30504000,0.6654619407762796
