date,avg_polarity,std_polarity,article_count,avg_vader_compound,std_vader_compound,positive_ratio,close,high,low,open,volume,daily_return
2011-07-19,0.0,0.0,10,-0.1946,0.3133,0.0,21.312828063964844,21.39021550821871,20.72467433599601,20.747889978843816,86730600,3.5727590090622208
2011-07-20,-0.175,0.3412,8,-0.1452,0.3576,0.125,20.941354751586918,21.16578240015308,20.87944393061528,21.1116106163117,49795400,-1.7429564545026421
2011-07-21,-0.0167,0.2544,5,-0.1761,0.3738,0.2,20.97231674194336,21.13483213873613,20.624067354429123,20.9258839822984,81737400,0.1478509424233776
2011-07-22,0.1204,0.1949,11,0.1202,0.1463,0.3636,21.305086135864254,21.32056273697425,20.64728261639269,20.786582358877343,76380600,1.5867078397465484
2011-07-25,0.2581,0.237,12,0.2994,0.2103,0.5833,21.59916305541992,21.73846280327992,21.04196554005068,21.09613733620273,108482400,1.380313215728446
2011-07-26,0.0373,0.0595,5,-0.0387,0.1506,0.2,21.73073005676269,21.784901868600794,21.498564727150505,21.52951941559892,74636500,0.6091300899261354
2011-07-27,0.0196,0.0893,14,0.1548,0.2236,0.2143,21.15030670166016,21.66107140106679,21.04970215980697,21.57594345914216,71488700,-2.670979546413821
2011-07-28,0.175,0.2372,10,0.1616,0.3322,0.4,21.452119827270508,21.72298022802318,21.057437782071545,21.119350080365127,83761400,1.4269917210546046
2011-07-29,0.2167,0.2502,4,-0.2914,0.1953,0.5,21.204479217529297,21.44438349944669,21.096135633967368,21.297346200632823,104394800,-1.1543875930918657
2011-08-01,0.1167,0.2206,6,0.1327,0.15,0.3333,21.10387420654297,21.428906426127053,20.70145308209209,21.28960669258093,61838400,-0.47445169463610215
2011-08-02,0.0,0.0,6,-0.0063,0.4344,0.0,20.74015045166016,21.243177683910773,20.709195769900447,20.87945020975597,63883100,-1.723492811429106
2011-08-03,0.0967,0.055,15,0.0135,0.0522,0.0667,20.8330192565918,20.89493010155356,20.492508871266608,20.763369371500943,64581200,0.4477730532769897
2011-08-04,0.0758,0.1174,6,0.1242,0.4614,0.3333,20.074617385864254,20.794332108715903,20.06687834328751,20.531210565392257,92949500,-3.640383860767471
2011-08-05,0.0938,0.186,8,-0.0403,0.2599,0.25,19.87339401245117,20.19842621269483,19.525144699307788,20.097820199533185,112071700,-1.0023771290145755
2011-08-08,0.0667,0.1902,11,0.0398,0.1545,0.2727,18.944730758666992,19.81148381199729,18.875080893842657,19.362629947613,134257200,-4.672897106565421
2011-08-09,0.0944,0.1385,6,-0.1019,0.3529,0.5,19.7960147857666,19.8269709514267,18.59649141179108,19.122732943371723,126268900,4.493513462629473
2011-08-10,0.1133,0.3168,5,0.0899,0.4495,0.4,18.72804450988769,19.41680267755828,18.65065560343613,19.308459094168462,127819900,-5.394875117221998
2011-08-11,-0.0138,0.0367,23,-0.036,0.231,0.0,19.49420166015625,19.641239034737087,18.88283060686166,18.96021955331395,90690100,4.090961818592742
2011-08-12,0.025,0.0354,2,0.1366,0.1932,0.0,19.424541473388672,19.610273960912068,19.07629213673818,19.44775711178497,64787100,-0.35733798173410714
2011-08-15,0.0312,0.0625,4,0.3667,0.4266,0.25,19.74183654785156,19.796008344057768,19.46323705185309,19.53288692585271,56529400,1.6334752349113524
2011-08-16,0.0,,1,0.0,,0.0,19.74183654785156,19.92874132819232,19.508204458385254,19.64059553013335,54251500,0.0
2011-08-17,0.0167,0.0289,3,0.0,0.0,0.0,19.66396141052246,20.014408841696604,19.414755008526328,19.66396141052246,50923700,-0.3944675417625887
2011-08-18,0.0333,0.2338,6,0.4183,0.2924,0.1667,19.212276458740234,19.539360267151128,18.71386360226172,19.134399078568595,105714200,-2.2970191120316397
2011-08-19,-0.006,0.0146,6,0.0622,0.1186,0.0,18.729440689086918,19.17334137678963,18.62041323178504,19.00979870544911,77397900,-2.51316272015053
2011-08-22,0.1625,0.3335,8,0.204,0.3935,0.5,18.674922943115234,19.07209621905981,18.52695756443212,19.017582502135777,54721000,-0.29108048060104696
2011-08-23,0.164,0.2042,5,-0.0321,0.0819,0.6,19.25120735168457,19.27457100279089,18.71385674472172,18.71385674472172,59670600,3.085873019796259
2011-08-24,-0.06,0.0548,5,0.3172,0.1791,0.0,19.39139175415039,19.414755411843124,19.01758214339077,19.196699062873,45329700,0.728184990712033
2011-08-25,-0.11,0.8933,5,0.0506,0.4723,0.4,19.13439178466797,19.593866518605747,19.07987808494432,19.531564935294877,48192000,-1.3253301915651106
2011-08-26,0.0333,0.1803,9,-0.0624,0.1928,0.1111,19.66396141052246,19.73405089675729,19.01758174832474,19.08767123455957,71957000,2.7676323962323446
2011-08-29,0.15,0.2121,2,0.0,0.0,0.5,20.123432159423828,20.13900792771284,19.75741051695423,19.882013692492265,38863200,2.3366133573446524
2011-08-30,0.1,0.1414,2,0.0,0.0,0.5,20.427160263061523,20.582915036549807,20.014412638476504,20.037774814728422,57341400,1.5093255525770788
2011-08-31,0.4167,0.3819,3,0.2418,0.5359,0.6667,20.71529197692871,20.80095570689529,20.45050993437036,20.47387358002666,59300800,1.4105323997884112
